Latitude;Longitude;Time;Speed;Total Time
********* ;********** ;********** ******** **** ;***** ;7
********* ;********** ;********** ******** **** ;***** ;148
********* ;********** ;********** ******** **** ;***** ;290
********* ;********** ;********** ******** **** ;***** ;431
-15.795009; -47.934776;04:04:23.221;0.01;733
-15.795009; -47.934776;04:04:23.431;0.01;991
-15.795009; -47.934776;04:04:23.573;0.01;1134
-15.795009; -47.934776;04:04:23.716;0.00;1278
-15.795009; -47.934776;04:04:23.860;0.12;1420
-15.795010; -47.934776;04:04:24.196  ;0.15;1669
-15.795010; -47.934776;04:04:24.520  ;0.15;1991
-15.795010; -47.934776;04:04:24.676  ;0.15;2133
-15.795010; -47.934776;04:04:24.818  ;  0.16;2275
-15.795010; -47.934776;04:04:24.967  ;  0.17;2424
-15.795010; -47.934776;04:04:25.199  ;  0.18;2672
-15.795010; -47.934776;04:04:25.526  ;  0.19;2990
-15.795010; -47.934776;04:04:25.679  ;  0.19;3135
-15.795010; -47.934776;04:04:25.821  ;  0.19;3278
-15.795010; -47.934776;04:04:25.963  ;  0.19;3420
-15.795011; -47.934776;04:04:26.191  ;  0.20;3669
-15.795011; -47.934776;04:04:26.517  ;  0.20;3993
-15.795011; -47.934776;04:04:26.675  ;  0.20;4135
-15.795011; -47.934776;04:04:26.817  ;  0.20;4277
-15.795011; -47.934776;04:04:26.959  ;  0.21;4420
-15.795012; -47.934776;04:04:27.220  ;  0.22;4694
-15.795012; -47.934776;04:04:27.536  ;  0.22;4993
-15.795012; -47.934776;04:04:27.677  ;  0.22;5135
-15.795012; -47.934776;04:04:27.820  ;  0.23;5278
-15.795012; -47.934776;04:04:27.962  ;  0.23;5420
-15.795011; -47.934776;04:04:28.189  ;  0.24;5668
-15.795011; -47.934776;04:04:28.515  ;  0.24;5994
-15.795011; -47.934776;04:04:28.675  ;  0.24;6138
-15.795011; -47.934776;04:04:28.817  ;  0.24;6282
-15.795011; -47.934776;04:04:28.961  ;  0.25;6425
-15.795011; -47.934776;04:04:29.196  ;  0.25;6673
-15.795011; -47.934776;04:04:29.522  ;  0.25;6994
-15.795011; -47.934776;04:04:29.676  ;  0.25;7136
-15.795011; -47.934776;04:04:29.818  ;  0.26;7279
-15.795011; -47.934776;04:04:29.961  ;  0.27;7421
-15.795011; -47.934776;04:04:30.190  ;  0.28;7672
-15.795011; -47.934776;04:04:30.514  ;  0.29;8000
-15.795011; -47.934776;04:04:30.678  ;  0.29;8143
-15.795011; -47.934776;04:04:30.820  ;  0.29;8285
-15.795011; -47.934776;04:04:30.962  ;  0.29;8427
-15.795011; -47.934776;04:04:31.197  ;  0.29;8676
-15.795011; -47.934776;04:04:31.521  ;  0.28;8997
-15.795011; -47.934776;04:04:31.676  ;  0.28;9139
-15.795011; -47.934776;04:04:31.818  ;  0.28;9281
-15.795011; -47.934776;04:04:31.961  ;  0.27;9424
-15.795011; -47.934776;04:04:32.215  ;  0.26;9699
-15.795011; -47.934776;04:04:32.534  ;  0.26;10001
-15.795011; -47.934776;04:04:32.678  ;  0.26;10145
-15.795011; -47.934776;04:04:32.820  ;  0.25;10287
-15.795011; -47.934776;04:04:32.962  ;  0.23;10429
-15.795010; -47.934776;04:04:33.202  ;  0.23;10678
-15.795010; -47.934776;04:04:33.221  ;  0.23;10995
-15.795010; -47.934776;04:04:33.371  ;  0.20;11138
-15.795010; -47.934776;04:04:33.516  ;  0.20;11282
-15.795010; -47.934776;04:04:33.659  ;  0.11;11426
-15.795011; -47.934772;04:04:34.187  ;  0.11;11675
-15.795011; -47.934772;04:04:34.515  ;  0.17;12001
-15.795011; -47.934772;04:04:34.675  ;  0.15;12145
-15.795011; -47.934772;04:04:34.817  ;  0.13;12287
-15.795011; -47.934772;04:04:34.959  ;  0.13;12429
-15.795011; -47.934772;04:04:35.193  ;  0.13;12678
-15.795011; -47.934772;04:04:35.519  ;  0.13;13006
-15.795011; -47.934772;04:04:35.680  ;  0.11;13148
-15.795011; -47.934772;04:04:35.822  ;  0.11;13290
-15.795011; -47.934772;04:04:35.965  ;  0.10;13433
-15.795011; -47.934772;04:04:36.191  ;  0.00;13681
-15.795011; -47.934772;04:04:36.518  ;  0.00;14006
-15.795011; -47.934772;04:04:36.675  ;  0.00;14149
-15.795011; -47.934772;04:04:36.817  ;  0.00;14291
-15.795011; -47.934772;04:04:36.959  ;  0.01;14435
-15.795012; -47.934772;04:04:37.198  ;  0.10;14684
-15.795012; -47.934772;04:04:37.523  ;  0.10;15004
-15.795012; -47.934772;04:04:37.676  ;  0.10;15146
-15.795012; -47.934772;04:04:37.818  ;  0.10;15288
-15.795012; -47.934772;04:04:37.961  ;  0.10;15431
-15.795013; -47.934772;04:04:38.189  ;  0.08;15679
-15.795013; -47.934772;04:04:38.514  ;  0.08;16005
-15.795013; -47.934772;04:04:38.673  ;  0.08;16149
-15.795013; -47.934772;04:04:38.818  ;  0.08;16292
-15.795013; -47.934772;04:04:38.960  ;  0.08;16434
-15.795013; -47.934772;04:04:39.193  ;  0.01;16682
-15.795013; -47.934772;04:04:39.519  ;  0.01;17004
-15.795013; -47.934772;04:04:39.674  ;  0.01;17148
-15.795013; -47.934772;04:04:39.816  ;  0.01;17290
-15.795013; -47.934772;04:04:39.958  ;  0.01;17433
-15.795014; -47.934769;04:04:40.191  ;  0.05;17707
-15.795014; -47.934769;04:04:40.534  ;  0.05;18006
-15.795014; -47.934769;04:04:40.675  ;  0.05;18148
-15.795014; -47.934769;04:04:40.822  ;  0.05;18294
-15.795014; -47.934769;04:04:40.963  ;  0.05;18436
-15.795013; -47.934772;04:04:41.193  ;  0.04;18684
-15.795013; -47.934772;04:04:41.518  ;  0.04;19006
-15.795013; -47.934772;04:04:41.674  ;  0.04;19149
-15.795013; -47.934772;04:04:41.816  ;  0.04;19293
-15.795013; -47.934772;04:04:41.960  ;  0.04;19435
-15.795013; -47.934772;04:04:42.183  ;  0.05;19683
-15.795013; -47.934772;04:04:42.510  ;  0.05;20011
-15.795013; -47.934772;04:04:42.672  ;  0.05;20157
-15.795013; -47.934772;04:04:42.816  ;  0.05;20301
-15.795013; -47.934772;04:04:42.958  ;  0.05;20443
-15.795013; -47.934772;04:04:43.191  ;  0.05;20692
-15.795013; -47.934772;04:04:43.518  ;  0.05;21017
-15.795013; -47.934772;04:04:43.673  ;  0.05;21157
-15.795013; -47.934772;04:04:43.815  ;  0.05;21299
-15.795013; -47.934772;04:04:43.957  ;  0.05;21441
-15.795012; -47.934772;04:04:44.191  ;  0.03;21689
-15.795012; -47.934772;04:04:44.518  ;  0.03;22016
-15.795012; -47.934772;04:04:44.675  ;  0.03;22158
-15.795012; -47.934772;04:04:44.818  ;  0.03;22301
-15.795012; -47.934772;04:04:44.960  ;  0.03;22443
-15.795011; -47.934772;04:04:45.219  ;  0.10;22717
-15.795011; -47.934772;04:04:45.533  ;  0.10;23015
-15.795011; -47.934772;04:04:45.677  ;  0.10;23159
-15.795011; -47.934772;04:04:45.819  ;  0.10;23301
-15.795011; -47.934772;04:04:45.961  ;  0.10;23443
-15.795010; -47.934772;04:04:46.194  ;  0.07;23694
-15.795010; -47.934772;04:04:46.520  ;  0.07;24015
-15.795010; -47.934772;04:04:46.674  ;  0.07;24157
-15.795010; -47.934772;04:04:46.819  ;  0.07;24302
-15.795010; -47.934772;04:04:46.961  ;  0.07;24444
-15.795010; -47.934772;04:04:47.194  ;  0.02;24692
-15.795010; -47.934772;04:04:47.521  ;  0.02;25010
-15.795010; -47.934772;04:04:47.671  ;  0.02;25153
-15.795010; -47.934772;04:04:47.814  ;  0.02;25296
-15.795010; -47.934772;04:04:47.956  ;  0.02;25438
-15.795009; -47.934772;04:04:48.186  ;  0.05;25687
-15.795009; -47.934772;04:04:48.512  ;  0.05;26016
-15.795009; -47.934772;04:04:48.674  ;  0.05;26158
-15.795009; -47.934772;04:04:48.816  ;  0.05;26300
-15.795009; -47.934772;04:04:48.960  ;  0.05;26444
-15.795008; -47.934776;04:04:49.191  ;  0.06;26692
-15.795008; -47.934776;04:04:49.519  ;  0.06;27015
-15.795008; -47.934776;04:04:49.672  ;  0.06;27157
-15.795008; -47.934776;04:04:49.815  ;  0.06;27300
-15.795008; -47.934776;04:04:49.957  ;  0.06;27444
-15.795008; -47.934776;04:04:50.187  ;  0.02;27692
-15.795008; -47.934776;04:04:50.513  ;  0.02;28020
-15.795008; -47.934776;04:04:50.673  ;  0.02;28163
-15.795008; -47.934776;04:04:50.815  ;  0.02;28305
-15.795008; -47.934776;04:04:50.959  ;  0.02;28449
-15.795008; -47.934776;04:04:51.194  ;  0.02;28698
-15.795008; -47.934776;04:04:51.522  ;  0.02;29017
-15.795008; -47.934776;04:04:51.676  ;  0.02;29163
-15.795008; -47.934776;04:04:51.821  ;  0.02;29307
-15.795008; -47.934776;04:04:51.963  ;  0.02;29449
-15.795008; -47.934776;04:04:52.191  ;  0.02;29697
-15.795008; -47.934776;04:04:52.517  ;  0.02;30022
-15.795008; -47.934776;04:04:52.673  ;  0.02;30164
-15.795008; -47.934776;04:04:52.815  ;  0.02;30306
-15.795008; -47.934776;04:04:52.958  ;  0.02;30449
-15.795003; -47.934776;04:04:53.187  ;  0.02;30724
-15.795003; -47.934776;04:04:53.534  ;  0.02;31028
-15.795003; -47.934776;04:04:53.676  ;  0.02;31171
-15.795003; -47.934776;04:04:53.819  ;  0.02;31313
-15.795003; -47.934776;04:04:53.961  ;  0.02;31455
-15.795002; -47.934776;04:04:54.191  ;  0.12;31704
-15.795002; -47.934776;04:04:54.517  ;  0.12;32029
-15.795002; -47.934776;04:04:54.675  ;  0.12;32171
-15.795002; -47.934776;04:04:54.817  ;  0.12;32313
-15.795002; -47.934776;04:04:54.963  ;  0.12;32459
-15.795003; -47.934776;04:04:55.193  ;  0.03;32708
-15.795003; -47.934776;04:04:55.520  ;  0.03;33028
-15.795003; -47.934776;04:04:55.673  ;  0.03;33170
-15.795003; -47.934776;04:04:55.817  ;  0.03;33314
-15.795003; -47.934776;04:04:55.959  ;  0.03;33456
-15.795003; -47.934776;04:04:56.190  ;  0.03;33704
-15.795003; -47.934776;04:04:56.517  ;  0.03;34028
-15.795003; -47.934776;04:04:56.676  ;  0.03;34173
-15.795003; -47.934776;04:04:56.820  ;  0.03;34317
-15.795003; -47.934776;04:04:56.962  ;  0.03;34460
-15.795003; -47.934776;04:04:57.194  ;  0.04;34708
-15.795003; -47.934776;04:04:57.521  ;  0.04;35029
-15.795003; -47.934776;04:04:57.673  ;  0.04;35171
-15.795003; -47.934776;04:04:57.816  ;  0.04;35314
-15.795003; -47.934776;04:04:57.958  ;  0.04;35456
-15.795003; -47.934776;04:04:58.212  ;  0.01;35731
